id,name,artist,key,mode,tempo,time_signature,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,analysis_url,preview_url
5wNn33j2VfP8WMZhojE3JC,In Spite of Me,Morphine,7,1,167.278,4,154840,0.431,0.373,-14.77,0.034,0.641,0.511,0.143,0.49,https://api.spotify.com/v1/audio-analysis/5wNn33j2VfP8WMZhojE3JC,https://p.scdn.co/mp3-preview/e6c01e8fdc9fa55d07a63e00124026da2436fa53?cid=d15799fa66d145678638eaacc0278873
5QH3pNXpDzSIMziqX9lL1l,You Look Like Rain,Morphine,5,1,100.596,4,220040,0.56,0.184,-19.301,0.0612,0.654,8.46e-05,0.142,0.31,https://api.spotify.com/v1/audio-analysis/5QH3pNXpDzSIMziqX9lL1l,https://p.scdn.co/mp3-preview/65ab4f4a6aba400cfb98d353ab46b7173cd0f501?cid=d15799fa66d145678638eaacc0278873
4XwOpoXV6162mMEDm4x7n3,No Tears,Tuxedomoon,1,1,171.766,4,339867,0.34,0.834,-15.55,0.038,0.00497,0.344,0.131,0.595,https://api.spotify.com/v1/audio-analysis/4XwOpoXV6162mMEDm4x7n3,https://p.scdn.co/mp3-preview/57b5c54902919ace904d1a0d8e069db7e0decb2e?cid=d15799fa66d145678638eaacc0278873
4A1LbYyFsD7l618ZjmIoxc,Arka - El Buho Remix,Nicola Cruz_El Búho,10,1,102.041,4,340294,0.633,0.61,-12.425,0.323,0.378,0.0267,0.0495,0.529,https://api.spotify.com/v1/audio-analysis/4A1LbYyFsD7l618ZjmIoxc,https://p.scdn.co/mp3-preview/b2a3747607b6a914f4225eb81fbfe86e8e73495f?cid=d15799fa66d145678638eaacc0278873
1qaS4rwkm52lpkDZVmvF52,Steppin' Out,Joe Jackson,11,1,159.471,4,259493,0.586,0.532,-7.677,0.0288,0.0556,0.000675,0.0799,0.541,https://api.spotify.com/v1/audio-analysis/1qaS4rwkm52lpkDZVmvF52,
3bFK9c973r3qRrPQjUoFpA,Whoo! Alright - Yeah...Uh Huh.,The Rapture,3,0,134.839,4,228707,0.748,0.898,-5.113,0.0413,0.000159,0.00716,0.439,0.895,https://api.spotify.com/v1/audio-analysis/3bFK9c973r3qRrPQjUoFpA,
1SjrfoUnv55TSi3m7EJLli,Like Eating Glass,Bloc Party,1,0,160.27,4,261987,0.397,0.981,-4.867,0.161,0.000388,0.000263,0.129,0.23,https://api.spotify.com/v1/audio-analysis/1SjrfoUnv55TSi3m7EJLli,https://p.scdn.co/mp3-preview/5ec532c786d4b62ff7723aa7406ea0854fd19dcf?cid=d15799fa66d145678638eaacc0278873
1by2yZWXqeTs4SRlBDsGov,Always Ascending,Franz Ferdinand,7,1,112.585,4,321413,0.442,0.92,-4.688,0.107,0.00196,3.64e-06,0.11,0.255,https://api.spotify.com/v1/audio-analysis/1by2yZWXqeTs4SRlBDsGov,https://p.scdn.co/mp3-preview/e8c19e0d1ee5e8ecd2922b47df2cc29a564093e2?cid=d15799fa66d145678638eaacc0278873
28EgO531KJ8wdNBPlbzEKO,Woman - Mstrkrft Remix,Wolfmother,7,1,132.975,4,209987,0.675,0.854,-4.498,0.122,0.00122,0.00382,0.184,0.962,https://api.spotify.com/v1/audio-analysis/28EgO531KJ8wdNBPlbzEKO,
5xC8uOesnn0udeXAYlAnoY,Alright,Supergrass,4,0,145.92,4,180880,0.467,0.958,-4.808,0.0775,0.000479,0.199,0.299,0.701,https://api.spotify.com/v1/audio-analysis/5xC8uOesnn0udeXAYlAnoY,https://p.scdn.co/mp3-preview/a1b115a756302d90d3d153b15694c8d9243ea5af?cid=d15799fa66d145678638eaacc0278873
2pcwmk8c1pTYwX0COSVX52,Woman,Wolfmother,9,0,150.753,4,175667,0.191,0.948,-3.496,0.217,2.78e-05,0.0864,0.0945,0.215,https://api.spotify.com/v1/audio-analysis/2pcwmk8c1pTYwX0COSVX52,
6dgNSYxHgPruJtgISdi61C,Up the Bracket,The Libertines,9,1,182.521,4,158547,0.326,0.908,-2.696,0.0738,0.0118,0,0.367,0.587,https://api.spotify.com/v1/audio-analysis/6dgNSYxHgPruJtgISdi61C,https://p.scdn.co/mp3-preview/f5682acd0d382e2ab5accebee2b0a820f999b9da?cid=d15799fa66d145678638eaacc0278873
2q5ghpEoF7pturgAN5LlH0,If I Had You,Erroll Garner,8,1,72.616,4,267320,0.413,0.205,-16.49,0.0438,0.993,0.936,0.112,0.199,https://api.spotify.com/v1/audio-analysis/2q5ghpEoF7pturgAN5LlH0,https://p.scdn.co/mp3-preview/0a2eaddde1b530ecb0a4ce118e5e7da07fd7340e?cid=d15799fa66d145678638eaacc0278873
48wpcTL6i06Up8w9YgAKTX,"I Surrender, Dear",Erroll Garner,2,1,104.857,4,410400,0.461,0.148,-17.858,0.0517,0.994,0.944,0.113,0.0675,https://api.spotify.com/v1/audio-analysis/48wpcTL6i06Up8w9YgAKTX,https://p.scdn.co/mp3-preview/bba313045370cd7a2a25293f6e5a93d2b932bc88?cid=d15799fa66d145678638eaacc0278873
4KBULZasCMBDKHY8IPUCML,Ensenada,Bennie Maupin,0,1,83.685,4,495840,0.27,0.369,-18.636,0.038,0.895,0.926,0.109,0.14,https://api.spotify.com/v1/audio-analysis/4KBULZasCMBDKHY8IPUCML,
2pdulgTSVNLaZkwCi32Jk3,Balloons,Tonbruket,5,0,143.083,4,325640,0.535,0.713,-9.363,0.0307,0.00518,0.895,0.105,0.436,https://api.spotify.com/v1/audio-analysis/2pdulgTSVNLaZkwCi32Jk3,https://p.scdn.co/mp3-preview/b9ef40a500d3821233aa1a45909d5afe1daab034?cid=d15799fa66d145678638eaacc0278873
1CdUTDxI3bE7ABNwscilBo,Porno 3003,ピチカート・ファイヴ,7,1,87.056,4,591667,0.647,0.66,-9.928,0.0724,0.0893,0.00147,0.0907,0.757,https://api.spotify.com/v1/audio-analysis/1CdUTDxI3bE7ABNwscilBo,https://p.scdn.co/mp3-preview/145819b94b021a2132072cd41b816b054c4b9c5c?cid=d15799fa66d145678638eaacc0278873
